"1,88,59,74,,53.8,,0.00,F,280,9.6,270,17,93,23,23,1004.5"
"2,79,63,71,,46.5,,0.00,,330,8.7,340,23,70,28,28,1004.5"
"3,77,55,66,,39.6,,0.00,,350,5,350,9,59,24,24,1016.8"
"4,77,59,68,,51.1,,0.00,,110,9.1,130,12,62,40,40,1021.1"
"5,90,66,78,6,68.3,,0.00,TFH,220,8.3,260,12,84,55,55,1014.4"
"6,81,61,71,,63.7,,0.00,RFH,30,6.2,30,13,93,60,60,1012.7"
"7,73,57,65,,53,,0.00,RF,50,9.5,50,17,90,48,48,1021.8"
"8,75,54,65,,50,,0.00,FH,160,4.2,150,10,93,41,41,1026.3"
"9,86,32,59,,61.5,,0.00,,240,7.6,220,12,78,46,46,1018.6"
"10,84,64,74,,57.5,,0.00,F,210,6.6,50,9,84,40,40,1019"
"11,91,59,75,,66.3,,0.00,H,250,7.1,230,12,93,45,45,1012.6"
"12,88,73,81,,68.7,,0.00,RTH,250,8.1,270,21,94,51,51,1007"
"13,70,59,65,,55,,0.00,H,150,3,150,8,83,59,59,1012.6"
"14,61,59,60,5,55.9,,0.00,RF,60,6.7,80,9,93,87,87,1008.6"
"15,64,55,60,5,54.9,,0.00,F,40,4.3,200,7,96,70,70,1006.1"
"16,79,59,69,,56.7,,0.00,F,250,7.6,240,21,87,44,44,1007"
"17,81,57,69,,51.7,,0.00,T,260,9.1,270,29*,90,34,34,1012.5"
"18,82,52,67,,52.6,,0.00,,230,4,190,12,93,34,34,1021.3"
"19,81,61,71,,58.9,,0.00,H,250,5.2,230,12,93,44,44,1028.5"
"20,84,57,71,,58.9,,0.00,FH,150,6.3,160,13,87,43,43,1032.5"
"21,86,59,73,,57.7,,0.00,F,240,6.1,250,12,90,35,35,1030.7"
"22,90,64,77,,61.1,,0.00,H,350,6.4,250,9,78,38,38,1026.4"
"23,90,68,79,,63.1,,0.00,H,190,8.3,230,12,68,42,42,1021.3"
"24,90,77,84,,67.5,,0.00,H,50,8.5,10,14,74,48,48,1018.2"
"25,90,72,81,,61.3,,0.00,,250,4.9,230,9,81,29,29,1019.6"
"26,97,64,81,,70.4,,0.00,H,280,5.1,200,12,107,45,45,1014.9"
"27,91,72,82,,69.7,,0.00,RTH,40,12.1,230,17,90,47,47,1009"
"28,84,68,76,,65.6,,0.00,RTFH,240,7.6,340,16,100,51,51,1011"
"29,88,66,77,,59.7,,0.00,,40,5.4,20,9,84,33,33,1020.6"
"30,90,45,68,,63.6,,0.00,H,240,6,220,17,200,41,41,1022.7"
